market,model_family,week_start,spend,sessions,DCFS,forms_started,impressions,cpl_dcfs,visit_to_lead_rate
CZ,Macan,2025-08-18,897.700005204918,2061,0,13,287561,,0.0
CZ,Macan,2025-08-25,904.8503092622951,2320,1,9,278906,904.8503092622951,0.0004310344827586207
CZ,Macan,2025-09-01,984.1180289754099,2129,1,10,319258,984.1180289754099,0.0004697040864255519
CZ,Macan,2025-09-08,1075.6106022131148,1896,3,8,268668,358.5368674043716,0.0015822784810126582
CZ,Macan,2025-09-15,1004.6613760245901,2454,0,6,298704,,0.0
CZ,Macan,2025-09-22,965.2378246311475,2082,1,5,276302,965.2378246311475,0.0004803073967339097
CZ,Macan,2025-09-29,1558.1571821311475,3476,0,14,475781,,0.0
CZ,Macan,2025-10-06,1687.8273340163935,3328,0,9,461494,,0.0
CZ,Macan,2025-10-13,1717.616446449274,1956,0,7,405016,,0.0
CZ,Macan,2025-10-20,1827.177471082758,1416,1,12,393663,1827.177471082758,0.0007062146892655367
CZ,Macan,2025-10-27,2258.6782479422386,1712,0,7,635920,,0.0
CZ,Macan,2025-11-03,2142.3526116069975,1682,0,13,559769,,0.0
CZ,Macan,2025-11-10,2071.593965708361,1505,1,11,656670,2071.593965708361,0.000664451827242525
CZ,Macan,2025-11-17,2695.5698688194625,1567,0,10,506158,,0.0
CZ,Macan,2025-11-24,257.0851980575803,353,0,2,31455,,0.0
CZ,Macan,2025-12-01,179.46428159149883,351,0,5,2443,,0.0
CZ,Macan,2025-12-08,288.3311882874357,602,0,10,4219,,0.0
CZ,Macan,2025-12-15,286.28157671336646,636,1,6,3509,286.28157671336646,0.0015723270440251573
CZ,Macan,2025-12-22,264.25124826086693,663,0,4,4005,,0.0
CZ,Macan,2025-12-29,122.3019903843209,291,0,5,1837,,0.0
GREC,Macan,2025-08-18,670.279023,7504,0,48,579396,,0.0
GREC,Macan,2025-08-25,725.1253360000001,7642,2,48,577569,362.56266800000003,0.00026171159382360636
GREC,Macan,2025-09-01,777.553443,6081,2,37,507151,388.7767215,0.000328893274132544
GREC,Macan,2025-09-08,730.678748,4787,0,15,467523,,0.0
GREC,Macan,2025-09-15,714.1618,3987,2,43,414127,357.0809,0.0005016302984700275
GREC,Macan,2025-09-22,871.73,4561,0,36,495989,,0.0
GREC,Macan,2025-09-29,1066.334105,5371,1,42,710389,1066.334105,0.0001861850679575498
GREC,Macan,2025-10-06,467.507973,1570,1,11,161385,467.507973,0.0006369426751592356
GREC,Macan,2025-10-13,1504.333493,1834,0,13,645899,,0.0
GREC,Macan,2025-10-20,1684.183428,2096,0,30,801159,,0.0
GREC,Macan,2025-10-27,3453.4173739999997,3117,3,46,1365869,1151.1391246666665,0.0009624639076034649
GREC,Macan,2025-11-03,2005.389759,1722,0,23,662654,,0.0
GREC,Macan,2025-11-10,1276.6951530000001,1166,0,22,592502,,0.0
GREC,Macan,2025-11-17,1581.143943,1404,0,13,399604,,0.0
GREC,Macan,2025-11-24,258.533695,237,0,0,28069,,0.0
GREC,Macan,2025-12-01,451.077624,292,0,3,3254,,0.0
GREC,Macan,2025-12-08,803.898814,562,0,5,8044,,0.0
GREC,Macan,2025-12-15,779.335478,454,0,1,5936,,0.0
GREC,Macan,2025-12-22,744.147678,487,0,3,5432,,0.0
GREC,Macan,2025-12-29,210.000594,158,0,0,1466,,0.0
PCA,Cayenne,2025-11-03,4511.051917667915,3532,5,49,28463,902.2103835335831,0.0014156285390713476
PCA,Cayenne,2025-11-10,7782.2541772285595,3321,5,35,23453,1556.4508354457118,0.0015055706112616681
PCA,Cayenne,2025-11-17,7151.617168925031,1541,2,11,13159,3575.8085844625157,0.0012978585334198572
PCA,Cayenne,2025-11-24,9405.732085022644,4923,1,25,367291,9405.732085022644,0.00020312817387771684
PCA,Cayenne,2025-12-01,22007.34751292671,26617,10,144,3372661,2200.734751292671,0.0003756997407671789
PCA,Cayenne,2025-12-08,19968.605149194653,24864,1,84,3667134,19968.605149194653,4.021879021879022e-05
PCA,Cayenne,2025-12-15,23911.65002655724,25201,8,91,2875039,2988.956253319655,0.0003174477203285584
PCA,Cayenne,2025-12-22,22306.032203146886,27928,14,148,3300791,1593.2880145104918,0.0005012890289315383
PCA,Cayenne,2025-12-29,8320.573128671958,12977,5,80,1292058,1664.1146257343917,0.00038529706403637206
PCA,Macan,2025-11-03,450.5708655678888,163,0,2,2114,,0.0
PCA,Macan,2025-11-10,4793.938147707901,1532,3,20,13244,1597.9793825693005,0.0019582245430809398
PCA,Macan,2025-11-17,4311.536033118762,720,1,9,5381,4311.536033118762,0.001388888888888889
PCA,Macan,2025-11-24,14819.836632489054,12233,5,75,1412302,2963.967326497811,0.00040873048311943107
PCA,Macan,2025-12-01,16533.798749052265,16890,6,86,2507878,2755.6331248420443,0.00035523978685612787
PCA,Macan,2025-12-08,15021.971361780477,17392,1,66,2989123,15021.971361780477,5.749770009199632e-05
PCA,Macan,2025-12-15,17304.980557992443,17195,3,74,2224870,5768.326852664148,0.00017446932247746437
PCA,Macan,2025-12-22,14319.115380434769,17427,1,73,2102999,14319.115380434769,5.738222298731853e-05
PCA,Macan,2025-12-29,5472.180206049291,7892,3,35,955558,1824.060068683097,0.0003801317790167258
PCGB,Cayenne,2025-11-03,5064.022742942909,6897,3,38,194749,1688.0075809809696,0.00043497172683775554
PCGB,Cayenne,2025-11-10,6538.390083440879,14595,5,58,438848,1307.6780166881758,0.00034258307639602604
PCGB,Cayenne,2025-11-17,9275.952896851324,14540,20,79,399700,463.7976448425662,0.001375515818431912
PCGB,Cayenne,2025-11-24,7395.977473531958,10554,9,51,460897,821.7752748368843,0.0008527572484366117
PCGB,Cayenne,2025-12-01,17844.502168241295,22701,14,249,1652361,1274.6072977315212,0.0006167129201356768
PCGB,Cayenne,2025-12-08,31388.21404471153,29759,15,244,2846704,2092.5476029807687,0.0005040491952014517
PCGB,Cayenne,2025-12-15,27769.66770067158,28592,19,269,2513138,1461.5614579300832,0.0006645215444879687
PCGB,Cayenne,2025-12-22,28820.4914357162,31233,35,347,3086418,823.4426124490343,0.001120609611628726
PCGB,Cayenne,2025-12-29,8728.054490594113,12280,9,117,1152979,969.7838322882349,0.0007328990228013029
PCGB,Macan,2025-06-09,5707.027706976745,2638,4,16,31575,1426.7569267441863,0.001516300227445034
PCGB,Macan,2025-06-16,8319.343274418605,4753,8,18,59525,1039.9179093023256,0.001683147485798443
PCGB,Macan,2025-06-23,8573.193180232556,5101,5,39,61618,1714.6386360465112,0.0009801999607920015
PCGB,Macan,2025-06-30,4827.7989965116285,5075,11,39,262485,438.8908178646935,0.002167487684729064
PCGB,Macan,2025-07-07,9883.77841511628,5702,15,56,1228327,658.9185610077519,0.002630655910206945
PCGB,Macan,2025-07-14,9558.944706976743,4959,6,37,929479,1593.1574511627905,0.0012099213551119178
PCGB,Macan,2025-07-21,9607.149865116278,6010,11,57,727505,873.3772604651163,0.0018302828618968385
PCGB,Macan,2025-07-28,4548.474660465116,3275,11,32,468431,413.49769640591967,0.0033587786259541984
PCGB,Macan,2025-08-04,4204.751974418605,3054,6,18,438606,700.7919957364342,0.0019646365422396855
