market,model,ctg_measure,ctg_channel,start_date,end_date,channel_role
PCGB,Macan BEV,Google Ads,Google Ads,2026-05-01,2026-08-30,lower_funnel
PD,Macan BEV,Google Ads,Google Ads,2026-05-01,2026-08-30,lower_funnel
PKO,Macan BEV,Google Ads,Google Ads,2026-05-01,2026-08-30,lower_funnel
POF,Macan BEV,Google Ads,Google Ads,2026-05-01,2026-08-30,lower_funnel
PIT,Macan BEV,Google Ads,Google Ads,2026-05-01,2026-08-30,lower_funnel
TRK,Macan BEV,Google Ads,Google Ads,2026-05-01,2026-08-30,lower_funnel
PCL,Macan BEV,Google Ads,Google Ads,2026-05-01,2026-08-30,lower_funnel
PIB SPA,Macan BEV,Google Ads,Google Ads,2026-05-01,2026-08-30,lower_funnel
PNO,Macan BEV,Google Ads,Google Ads,2026-05-01,2026-08-30,lower_funnel
PIB POR,Macan BEV,Google Ads,Google Ads,2026-05-01,2026-08-30,lower_funnel
PCH,Macan BEV,Google Ads,Google Ads,2026-05-01,2026-08-30,lower_funnel
PTW,Macan BEV,Google Ads,Google Ads,2026-05-01,2026-08-30,lower_funnel
PCA,Macan BEV,Google Ads,Google Ads,2026-05-01,2026-08-30,lower_funnel
PPL,Macan BEV,Google Ads,Google Ads,2026-05-01,2026-08-30,lower_funnel
PCGB,Macan BEV,Google Inventory Ads,Google Inventory Ads,2026-05-01,2026-08-30,lower_funnel
PKO,Macan BEV,Google Inventory Ads,Google Inventory Ads,2026-05-01,2026-08-30,lower_funnel
POF,Macan BEV,Google Inventory Ads,Google Inventory Ads,2026-05-01,2026-08-30,lower_funnel
PIT,Macan BEV,Google Inventory Ads,Google Inventory Ads,2026-06-01,2026-08-30,lower_funnel
PCL,Macan BEV,Google Inventory Ads,Google Inventory Ads,2026-05-01,2026-08-30,lower_funnel
PIB SPA,Macan BEV,Google Inventory Ads,Google Inventory Ads,2026-05-01,2026-08-30,lower_funnel
PCGB,Macan BEV,META Inventory Ads,META Inventory Ads,2026-05-01,2026-08-30,lower_funnel
PD,Macan BEV,META Inventory Ads,META Inventory Ads,2026-05-01,2026-08-30,lower_funnel
PKO,Macan BEV,META Inventory Ads,META Inventory Ads,2026-05-01,2026-08-30,lower_funnel
POF,Macan BEV,META Inventory Ads,META Inventory Ads,2026-05-01,2026-08-30,lower_funnel
PIT,Macan BEV,META Inventory Ads,META Inventory Ads,2026-05-01,2026-08-30,lower_funnel
TRK,Macan BEV,META Inventory Ads,META Inventory Ads,2026-05-01,2026-08-30,lower_funnel
PCL,Macan BEV,META Inventory Ads,META Inventory Ads,2026-05-01,2026-08-30,lower_funnel
PIB SPA,Macan BEV,META Inventory Ads,META Inventory Ads,2026-05-01,2026-08-30,lower_funnel
PNO,Macan BEV,META Inventory Ads,META Inventory Ads,2026-05-01,2026-08-30,lower_funnel
PIB POR,Macan BEV,META Inventory Ads,META Inventory Ads,2026-05-01,2026-08-30,lower_funnel
PCH,Macan BEV,META Inventory Ads,META Inventory Ads,2026-05-01,2026-08-30,lower_funnel
PTW,Macan BEV,META Inventory Ads,META Inventory Ads,2026-05-01,2026-08-30,lower_funnel
PCA,Macan BEV,META Inventory Ads,META Inventory Ads,2026-05-01,2026-08-30,lower_funnel
PPL,Macan BEV,META Inventory Ads,META Inventory Ads,2026-05-01,2026-08-30,lower_funnel
PCGB,Macan BEV,Paid Social,Paid Social,2026-07-01,2026-08-30,upper_funnel
PD,Macan BEV,Paid Social,Paid Social,2026-07-01,2026-08-30,upper_funnel
PKO,Macan BEV,Paid Social,Paid Social,2026-07-01,2026-08-30,upper_funnel
POF,Macan BEV,Paid Social,Paid Social,2026-07-01,2026-08-30,upper_funnel
PIT,Macan BEV,Paid Social,Paid Social,2026-07-01,2026-08-30,upper_funnel
TRK,Macan BEV,Paid Social,Paid Social,2026-07-01,2026-08-30,upper_funnel
PCL,Macan BEV,Paid Social,Paid Social,2026-07-01,2026-08-30,upper_funnel
PIB SPA,Macan BEV,Paid Social,Paid Social,2026-07-01,2026-08-30,upper_funnel
PNO,Macan BEV,Paid Social,Paid Social,2026-07-01,2026-08-30,upper_funnel
PIB POR,Macan BEV,Paid Social,Paid Social,2026-07-01,2026-08-30,upper_funnel
PCH,Macan BEV,Paid Social,Paid Social,2026-07-01,2026-08-30,upper_funnel
PTW,Macan BEV,Paid Social,Paid Social,2026-07-01,2026-08-30,upper_funnel
PCA,Macan BEV,Paid Social,Paid Social,2026-07-01,2026-08-30,upper_funnel
PPL,Macan BEV,Paid Social,Paid Social,2026-07-01,2026-08-30,upper_funnel
PCGB,Cayenne E3 II,Google Ads,Google Ads,2026-05-01,2026-08-30,lower_funnel
