market,model,channel,week,icc_dcfs,model_dcfs,finder_dcfs,dcfs,spend
CANADA,all_models,Paid Search,2025-01,0.0,0.0,4.0,4.0,0.0
CANADA,all_models,Paid Search,2025-02,1.0,0.0,6.0,7.0,0.0
CANADA,all_models,Paid Search,2025-03,1.0,0.0,10.0,11.0,0.0
CANADA,all_models,Paid Search,2025-04,8.0,0.0,14.0,22.0,23984.192279591836
CANADA,all_models,Paid Search,2025-05,9.0,0.0,19.0,28.0,26003.587646938773
CANADA,all_models,Paid Search,2025-06,4.0,0.0,17.0,21.0,17453.472156462587
CANADA,all_models,Paid Search,2025-07,11.0,0.0,17.0,28.0,10299.2002
CANADA,all_models,Paid Search,2025-08,4.0,0.0,12.0,16.0,14633.489355782314
CANADA,all_models,Paid Search,2025-09,11.0,0.0,16.0,27.0,20456.02974489796
CANADA,all_models,Paid Search,2025-10,5.0,0.0,6.0,11.0,13434.198948979592
CANADA,all_models,Paid Search,2025-11,6.0,0.0,18.0,24.0,13442.288711564626
CANADA,all_models,Paid Search,2025-12,3.0,0.0,19.0,22.0,17064.201555102038
CANADA,all_models,Paid Search,2025-13,8.0,0.0,25.0,33.0,15927.580404761902
CANADA,all_models,Paid Search,2025-14,2.0,0.0,11.0,13.0,11478.26915102041
CANADA,all_models,Paid Search,2025-15,6.0,0.0,17.0,23.0,13490.30086122449
CANADA,all_models,Paid Search,2025-16,10.0,0.0,18.0,28.0,15556.930593197278
CANADA,all_models,Paid Search,2025-17,3.0,0.0,26.0,29.0,15243.700374829932
CANADA,all_models,Paid Search,2025-18,2.0,0.0,12.0,14.0,7509.280995238096
CANADA,all_models,Paid Search,2025-19,0.0,0.0,17.0,17.0,4818.566988435374
CANADA,all_models,Paid Search,2025-20,2.0,0.0,16.0,18.0,20458.71242244898
CANADA,all_models,Paid Search,2025-21,1.0,0.0,10.0,11.0,21919.91436462585
CANADA,all_models,Paid Search,2025-22,2.0,0.0,15.0,17.0,16400.42445170068
CANADA,all_models,Paid Search,2025-23,0.0,0.0,13.0,13.0,13472.011130612247
CANADA,all_models,Paid Search,2025-24,0.0,0.0,15.0,15.0,13489.446782993198
CANADA,all_models,Paid Search,2025-25,2.0,0.0,9.0,11.0,14034.48976462585
CANADA,all_models,Paid Search,2025-26,0.0,0.0,15.0,15.0,13158.930929251701
CANADA,all_models,Paid Search,2025-27,2.0,0.0,12.0,14.0,13592.315423129252
CANADA,all_models,Paid Search,2025-28,0.0,0.0,15.0,15.0,12336.714475510205
CANADA,all_models,Paid Search,2025-29,2.0,0.0,13.0,15.0,14940.947487755104
CANADA,all_models,Paid Search,2025-30,2.0,0.0,13.0,15.0,14043.546050340137
CANADA,all_models,Paid Search,2025-31,2.0,0.0,21.0,23.0,13046.735741496599
CANADA,all_models,Paid Search,2025-32,0.0,0.0,16.0,16.0,14594.052934013605
CANADA,all_models,Paid Search,2025-33,2.0,0.0,8.0,10.0,16202.126596598639
CANADA,all_models,Paid Search,2025-34,1.0,0.0,20.0,21.0,22355.694887074827
CANADA,all_models,Paid Search,2025-35,0.0,0.0,4.0,4.0,22859.59940680272
CANADA,all_models,Paid Search,2025-36,3.0,0.0,14.0,17.0,26249.799066666666
CANADA,all_models,Paid Search,2025-37,0.0,0.0,10.0,10.0,27509.797053061226
CANADA,all_models,Paid Search,2025-38,2.0,0.0,11.0,13.0,25716.170481632653
CANADA,all_models,Paid Search,2025-39,2.0,0.0,15.0,17.0,25745.453300680274
CANADA,all_models,Paid Search,2025-40,0.0,0.0,12.0,12.0,20506.004797959184
CANADA,all_models,Paid Search,2025-41,2.0,0.0,11.0,13.0,17623.85091020408
CANADA,all_models,Paid Search,2025-42,2.0,0.0,14.0,16.0,21935.431295238093
CANADA,all_models,Paid Search,2025-43,1.0,0.0,19.0,20.0,26798.351929931974
CANADA,all_models,Paid Search,2025-44,2.0,0.0,20.0,22.0,16254.580818367345
CANADA,all_models,Paid Search,2025-45,4.0,1.0,20.0,25.0,17996.625876190476
CANADA,all_models,Paid Search,2025-46,5.0,0.0,17.0,22.0,14064.597456462583
CANADA,all_models,Paid Search,2025-47,0.0,0.0,13.0,13.0,10941.23641972789
