# ----------------------------------------
# 0 | GLOBAL | ALL
# Manual Campaign Name + CFS-DE Dealer Submits
# 20250301-20250531
# ----------------------------------------

,Event name,carsales_dealercontactsubmitted_oph,xcc_dealercontactsubmitted_oph,Totals
country,Manual campaign name,Sessions,Sessions,Sessions
,,836,58,894,Grand total
DE,(not set),455,24,479
DE,PZ_Berlin,30,0,30
DE,PZ_Düsseldorf,26,1,27
DE,DE_GER_SR-E_GO_AC_AWOP_PE_PMAXSH_P2_NU_NU_AWO,19,7,26
DE,10182596_EC_PL_LAO_CNV_ECO_ECO_BRD_NA_GLB_SEAH_PSEAC_MXED_MIXED_GAD_GADW_CPC_NU_NU_NU_NU_MXD_DE_AL_MXED_10205914-VMK3DIRECT-PMAX-AWO-GENERAL-DE-VXD,23,1,24
DE,PZ_Stuttgart-Zuffenhausen,20,3,23
DE,PZ_Holzwickede,20,0,20
DE,10182596_EC_PL_LAO_CNV_ECO_ECO_BRD_NA_GLB_SEAH_PSEAC_MXED_MIXED_GAD_GADW_CPC_NU_NU_NU_NU_MXD_DE_AL_MXED_10205875-VMK3DIRECT-SEAH-AWO-BRAND-DE-VXD,15,3,18
DE,PZ_Bensberg,17,0,17
DE,PZ_Mannheim,16,1,17
DE,PZ_Köln,14,1,15
DE,PZ_Willich,15,0,15
DE,PZ_Böblingen,12,0,12
DE,PZ_Mainz,12,0,12
DE,DE_GER_SR-E_GO_AC_AWOP_PE_PMAXSH_P3_NU_NU_AWO,7,4,11
DE,PZ_Kaiserslautern,10,1,11
DE,PZ_Karlsruhe,10,0,10
DE,PZ_Moers,10,0,10
DE,PZ_Kleinmachnow,8,0,8
DE,10195846_EC_PL_LAO_CNV_ECO_CHH_CHH_NA_GLB_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_NU_NU_MXD_DE_AL_BRAP_10205930-VMK3DIRECT-SEAH-AWO-LHW-DE-VXD,7,0,7
DE,PORSCHE-VO-BRAND-PURE,7,0,7
DE,PZ_Bielefeld,7,0,7
DE,PZ_Heilbronn,6,1,7
DE,PZ_Lörrach,5,2,7
DE,PZ_Lübeck,7,0,7
DE,PZ_Pforzheim,4,3,7
DE,PZ_Ulm,6,1,7
DE,531573,6,0,6
DE,DE_GER_SR-E_GO_AC_AWOP_PE_PMAXSH_P1_NU_NU_AWO,6,0,6
DE,DE_GER_SR-E_GO_AC_AWOP_PE_SN_Brand_NU_NU_AWO,2,4,6
DE,PZ_Bonn,5,1,6
DE,PZ_Papendorf,4,2,6
DE,PZ_Siegen,6,0,6
DE,PZ_Sinzheim,6,0,6
DE,porsche_usate,6,0,6
DE,PZ_Essen,5,0,5
DE,PZ_Filderstadt,4,1,5
DE,PZ_Hagen,5,0,5
DE,PZ_Landau,5,0,5
DE,PZ_Schwäbisch-Gmünd,5,0,5
DE,PZ_Soest,5,0,5
DE,10182596_EC_PL_LAO_CNV_ECO_ECO_BRD_NA_GLB_SEAH_PSEAC_MXED_MIXED_GAD_GADW_CPC_NU_NU_NU_NU_MXD_DE_AL_MXED_10205909-VMK3DIRECT-PMAX-AWO-GENERAL-AT-VXD,4,0,4
DE,10182596_EC_PL_LAO_CNV_ECO_ECO_BRD_NA_GLB_SEAH_PSEAC_MXED_MIXED_GAD_GADW_CPC_NU_NU_NU_NU_MXD_DE_AL_MXED_10205926-VMK3DIRECT-SEAH-AWO-PRODUCTS-DE-VXD,3,1,4
DE,10182596_EC_PL_LAO_CNV_ECO_ECO_BRD_NA_GLB_SEAH_PSEAC_MXED_MIXED_MAD_BING_CPC_NU_NU_NU_NU_MXD_DE_AL_MXED_10205888-VMK3-BRVXD-DE,4,0,4
DE,DE_GER_SR-E_BI_AC_AWOP_PE_SN_BrandPD_NU_NU_AWO,3,1,4
DE,PZ_Freiburg,4,0,4
DE,PZ_Recklinghausen,4,0,4
DE,(referral),3,0,3
DE,10182596_EC_PL_LAO_CNV_ECO_ECO_BRD_NA_GLB_SEAH_PSEAC_MXED_MIXED_GAD_GADW_CPC_NU_NU_NU_NU_MXD_DE_AL_MXED_10205897-VMK3DIRECT-SEAH-AWO-BRANDVXD-DE-VXD,2,1,3
DE,10195846_EC_PL_LAO_CNV_ECO_CHH_CHH_NA_GLB_SEAH_PSEAC_PFMX_NU_GAD_GADW_CPC_NU_NU_NU_NU_MXD_DE_AL_BRAP_10205950-VMK3DIRECT-PMAX-AWO-LHW-DE-VXD,3,0,3
DE,AT_GER_SR-E_GO_AC_AWOP_PE_PMAX__NU_NU_AWO,3,0,3
DE,DE_GER_SR-E_GO_AC_AWOP_PE_SN_BraKoAccessoires_NU_NU_AWO,3,0,3
DE,PZ_Hilzingen,3,0,3
DE,PZ_Kiel,3,0,3
DE,PZ_Koblenz,3,0,3
DE,PZ_Münster,3,0,3
DE,PZ_Reutlingen,3,0,3
DE,PZ_Wuppertal,3,0,3
DE,_seafinder25_,3,0,3
DE,10028541_EC_PL_SLS_ECO_ECO_BRD_GLB_NU_SEAH_PSEAC_DRT_MXED_MIXED_GAD_GADW_CPC_NU_NU_MIXD_NU_MXD_DE_AL_MXED_VMK3Direct-PMAX-AWO-General-DE-VXD-NU-10088025,0,2,2
