market,manual_campaign_name,sessions_total,spend_budget,matched_campaign_strings,match_strategy,match_score
CA,(not set),108.0,,,,
CA,BrandSearch,61.0,,,,
CA,TRFFK-branding,41.0,,,,
CA,TRFFK-search-car-new,21.0,,,,
CA,TRFFK-search-car-used,19.0,,,,
CA,DB-branding,18.0,,,,
CA,TRFFK-search-branding,11.0,,,,
CA,_2025AON-finder_,7.0,,,,
CA,DB-search-car-used,6.0,,,,
CA,DB-search-car-new,5.0,,,,
CA,_2025AON-modelpage_,5.0,,,,
CA,(referral),4.0,,,,
CA,LBX|Used Vehicles|AutoSearch - Porsche DT - Certified Make Model Inventory,4.0,,,,
CA,_2025finder_,3.0,,,,
CA,brand,3.0,,,,
CA,dealership,3.0,,,,
CA,LBX|New Vehicles|AutoSearch - Porsche DT - New Dealer Branded,2.0,,,,
CA,LBX|New Vehicles|AutoSearch - Porsche DT - New Make Inventory,2.0,,,,
CA,LBX|Used Vehicles|AutoSearch - Porsche DT - Certified Make Inventory,2.0,,,,
CA,TRFFK-pmax-new-promo,2.0,,,,
CA,TRFFK-service,2.0,,,,
CA,_2025AON-finder-cpo_,2.0,,,,
CA,gmb_listing,2.0,,,,
CA,100013634,1.0,,,,
CA,Brand_627291243,1.0,,,,
CA,LBX|New Vehicles|AutoSearch - Porsche DT - New 911,1.0,856973.5196962173,10222364_10222364_POR_911_CPE_TWN_T1_NU_TWD_2025-02-22_2025-02-28_LOCAL-911CARRERASOCIALPOST | 10267771_10267771_POR_911_CPE_TWN_T1_NU_TWD_2025-04-01_2025-04-30_LOCAL-992 | 10440551_10440551_POR_911_CPE_TWN_T1_NU_TWD_2025-11-01_2025-12-28_LOCAL-NOV911FORMOSA | 10157125_10157125_POR_911_CPE_GBR_T1_NU_GBP_2025-08-01_2025-12-28_LOCAL-911BRAND,id,1.0
CA,LBX|New Vehicles|AutoSearch - Porsche DT - New Macan,1.0,,,,
CA,LBX|New Vehicles|AutoSearch - Porsche DT - New Make Model Inventory,1.0,,,,
CA,TRFFK-performance-max-promo,1.0,,,,
CA,_2025AON-configurator_,1.0,,,,
CA,google_my_business,1.0,,,,
CA,home,1.0,,,,
DE,(not set),479.0,,,,
DE,PZ_Berlin,30.0,,,,
DE,PZ_Düsseldorf,27.0,,,,
DE,DE_GER_SR-E_GO_AC_AWOP_PE_PMAXSH_P2_NU_NU_AWO,26.0,53402627.608792305,10208510_10208510_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-2025AFTERSALESSEM | 10210249_10210249_POR_MAC_SUV_CAN_T1_NU_CAD_2025-03-03_2025-07-31_MACANH2I-2025PORSCHEMACAN | 10207178_10207178_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-01_2025-02-28_LOCAL-AFTERSALESPRINT | 10208503_10208503_POR_RNG_RNG_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CERTIFIEDPREOWNED | 10208494_10208494_POR_POB_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CORPORATESEARCH,id,1.0
DE,10182596_EC_PL_LAO_CNV_ECO_ECO_BRD_NA_GLB_SEAH_PSEAC_MXED_MIXED_GAD_GADW_CPC_NU_NU_NU_NU_MXD_DE_AL_MXED_10205914-VMK3DIRECT-PMAX-AWO-GENERAL-DE-VXD,24.0,122298719.8746915,10163718_10163718_POR_ECO_BRD_ITA_T1_NU_EUR_2025-01-01_2025-12-28_LOCAL-OCS | 10163718_10163718_POR_ECO_BRD_ITA_T1_NU_EUR_2025-01-01_2025-12-28_LOCAL-OCS | 10208510_10208510_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-2025AFTERSALESSEM | 10207178_10207178_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-01_2025-02-28_LOCAL-AFTERSALESPRINT | 10208494_10208494_POR_POB_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CORPORATESEARCH,id,1.0
DE,PZ_Stuttgart-Zuffenhausen,23.0,,,,
DE,PZ_Holzwickede,20.0,,,,
DE,10182596_EC_PL_LAO_CNV_ECO_ECO_BRD_NA_GLB_SEAH_PSEAC_MXED_MIXED_GAD_GADW_CPC_NU_NU_NU_NU_MXD_DE_AL_MXED_10205875-VMK3DIRECT-SEAH-AWO-BRAND-DE-VXD,18.0,122298719.8746915,10163718_10163718_POR_ECO_BRD_ITA_T1_NU_EUR_2025-01-01_2025-12-28_LOCAL-OCS | 10163718_10163718_POR_ECO_BRD_ITA_T1_NU_EUR_2025-01-01_2025-12-28_LOCAL-OCS | 10208510_10208510_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-2025AFTERSALESSEM | 10207178_10207178_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-01_2025-02-28_LOCAL-AFTERSALESPRINT | 10208494_10208494_POR_POB_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CORPORATESEARCH,id,1.0
DE,PZ_Bensberg,17.0,,,,
DE,PZ_Mannheim,17.0,,,,
DE,PZ_Köln,15.0,,,,
DE,PZ_Willich,15.0,,,,
DE,PZ_Böblingen,12.0,,,,
DE,PZ_Mainz,12.0,,,,
DE,DE_GER_SR-E_GO_AC_AWOP_PE_PMAXSH_P3_NU_NU_AWO,11.0,53402627.608792305,10208510_10208510_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-2025AFTERSALESSEM | 10210249_10210249_POR_MAC_SUV_CAN_T1_NU_CAD_2025-03-03_2025-07-31_MACANH2I-2025PORSCHEMACAN | 10207178_10207178_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-01_2025-02-28_LOCAL-AFTERSALESPRINT | 10208503_10208503_POR_RNG_RNG_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CERTIFIEDPREOWNED | 10208494_10208494_POR_POB_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CORPORATESEARCH,id,1.0
DE,PZ_Kaiserslautern,11.0,,,,
DE,PZ_Karlsruhe,10.0,,,,
DE,PZ_Moers,10.0,,,,
DE,PZ_Kleinmachnow,8.0,,,,
DE,10195846_EC_PL_LAO_CNV_ECO_CHH_CHH_NA_GLB_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_NU_NU_NU_MXD_DE_AL_BRAP_10205930-VMK3DIRECT-SEAH-AWO-LHW-DE-VXD,7.0,133686569.02198094,10163718_10163718_POR_ECO_BRD_ITA_T1_NU_EUR_2025-01-01_2025-12-28_LOCAL-OCS | 10208510_10208510_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-2025AFTERSALESSEM | 10210249_10210249_POR_MAC_SUV_CAN_T1_NU_CAD_2025-03-03_2025-07-31_MACANH2I-2025PORSCHEMACAN | 10207178_10207178_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-01_2025-02-28_LOCAL-AFTERSALESPRINT | 10208503_10208503_POR_RNG_RNG_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CERTIFIEDPREOWNED,id,1.0
DE,PORSCHE-VO-BRAND-PURE,7.0,,,,
DE,PZ_Bielefeld,7.0,,,,
DE,PZ_Heilbronn,7.0,,,,
DE,PZ_Lörrach,7.0,,,,
DE,PZ_Lübeck,7.0,,,,
DE,PZ_Pforzheim,7.0,,,,
DE,PZ_Ulm,7.0,,,,
DE,531573,6.0,,,,
DE,DE_GER_SR-E_GO_AC_AWOP_PE_PMAXSH_P1_NU_NU_AWO,6.0,53402627.608792305,10208510_10208510_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-2025AFTERSALESSEM | 10210249_10210249_POR_MAC_SUV_CAN_T1_NU_CAD_2025-03-03_2025-07-31_MACANH2I-2025PORSCHEMACAN | 10207178_10207178_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-01_2025-02-28_LOCAL-AFTERSALESPRINT | 10208503_10208503_POR_RNG_RNG_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CERTIFIEDPREOWNED | 10208494_10208494_POR_POB_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CORPORATESEARCH,id,1.0
DE,DE_GER_SR-E_GO_AC_AWOP_PE_SN_Brand_NU_NU_AWO,6.0,53402627.608792305,10208510_10208510_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-2025AFTERSALESSEM | 10210249_10210249_POR_MAC_SUV_CAN_T1_NU_CAD_2025-03-03_2025-07-31_MACANH2I-2025PORSCHEMACAN | 10207178_10207178_POR_AFS_BRD_CAN_T1_NU_CAD_2025-01-01_2025-02-28_LOCAL-AFTERSALESPRINT | 10208503_10208503_POR_RNG_RNG_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CERTIFIEDPREOWNED | 10208494_10208494_POR_POB_BRD_CAN_T1_NU_CAD_2025-01-20_2025-12-28_LOCAL-CORPORATESEARCH,id,1.0
DE,PZ_Bonn,6.0,,,,
DE,PZ_Papendorf,6.0,,,,
DE,PZ_Siegen,6.0,,,,
DE,PZ_Sinzheim,6.0,,,,
DE,porsche_usate,6.0,,,,
DE,PZ_Essen,5.0,,,,
DE,PZ_Filderstadt,5.0,,,,
DE,PZ_Hagen,5.0,,,,
DE,PZ_Landau,5.0,,,,
DE,PZ_Schwäbisch-Gmünd,5.0,,,,
DE,PZ_Soest,5.0,,,,
