market,market_name,campaign_name,week,model,conv,spend
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-22,macan,0.0,76.75
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-23,macan,4.0,506.83
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-24,macan,0.0,1375.92
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-25,macan,4.33,4280.97
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-26,macan,1.33,3047.26
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-28,macan,0.0,900.8
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-29,macan,3.0,1233.55
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-30,macan,1.0,895.16
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-31,macan,2.5,615.37
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-32,macan,2.0,726.61
