market,market_name,campaign_name,week,model,conv,spend
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-03,macan,6.0,342.58
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-07,macan,2.0,742.42
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-08,macan,3.0,743.59
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-09,macan,0.0,695.24
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-11,macan,3.0,704.15
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-12,macan,1.0,698.17
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-13,macan,0.0,644.59
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-14,macan,0.0,706.24
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-16,macan,3.0,506.72
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-17,macan,1.0,492.83
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-18,macan,1.0,477.6
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-19,macan,0.87,493.96
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-20,macan,1.0,505.84
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-21,macan,2.0,497.94
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293785_COMBINATIONSMACAN_SEARCHADS,2025-22,macan,1.0,395.79
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293786_COMBINATIONSCAYENNE_SEARCHADS,2025-04,cayenne,4.0,367.31
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293786_COMBINATIONSCAYENNE_SEARCHADS,2025-06,cayenne,1.0,669.48
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293786_COMBINATIONSCAYENNE_SEARCHADS,2025-07,cayenne,1.5,566.89
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293786_COMBINATIONSCAYENNE_SEARCHADS,2025-08,cayenne,1.0,619.68
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293786_COMBINATIONSCAYENNE_SEARCHADS,2025-10,cayenne,0.5,580.58
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293786_COMBINATIONSCAYENNE_SEARCHADS,2025-11,cayenne,1.0,550.26
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293786_COMBINATIONSCAYENNE_SEARCHADS,2025-12,cayenne,1.0,576.01
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293786_COMBINATIONSCAYENNE_SEARCHADS,2025-13,cayenne,1.0,500.71
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293786_COMBINATIONSCAYENNE_SEARCHADS,2025-14,cayenne,1.0,569.96
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293786_COMBINATIONSCAYENNE_SEARCHADS,2025-15,cayenne,0.0,578.4
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293786_COMBINATIONSCAYENNE_SEARCHADS,2025-17,cayenne,9.0,408.11
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293786_COMBINATIONSCAYENNE_SEARCHADS,2025-18,cayenne,0.05,384.24
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293786_COMBINATIONSCAYENNE_SEARCHADS,2025-19,cayenne,4.0,397.05
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293786_COMBINATIONSCAYENNE_SEARCHADS,2025-20,cayenne,0.0,414.5
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293791_COMBINATIONSTAYCAN_SEARCHADS,2025-01,taycan,3.0,1617.67
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293791_COMBINATIONSTAYCAN_SEARCHADS,2025-02,taycan,3.5,409.41
PD,Germany,10169183_NC_CF_LAO_CNV_EPF_EPF_BRD_EV_DEU_SEAH_PSEAC_TEAD_NU_GAD_GADW_CPC_NU_BDS_KT_NU_NU_DE_NU_BRAD_10293791_COMBINATIONSTAYCAN_SEARCHADS,2025-03,taycan,2.0,336.84
