market,model,channel,week,icc_dcfs,model_dcfs,finder_dcfs,dcfs,spend
GERMANY,taycan,Paid Search,2025-01,5.45,nan,nan,5.45,5088.18
GERMANY,911,Paid Search,2025-01,0.5,nan,nan,0.5,261.89
GERMANY,cayenne,Paid Search,2025-01,2.0,nan,nan,2.0,545.65
GERMANY,macan,Paid Search,2025-01,3.0,nan,nan,3.0,6265.38
GERMANY,none,Paid Search,2025-01,0.5,nan,nan,0.5,60.0
GERMANY,taycan,Paid Search,2025-02,19.5,nan,nan,19.5,2582.01
GERMANY,cayenne,Paid Search,2025-02,3.0,nan,nan,3.0,3359.24
GERMANY,macan,Paid Search,2025-02,9.0,nan,nan,9.0,5436.45
GERMANY,panamera,Paid Search,2025-02,0.0,nan,nan,0.0,346.34
GERMANY,911,Paid Search,2025-02,2.0,nan,nan,2.0,347.45
GERMANY,none,Paid Search,2025-02,0.0,nan,nan,0.0,61.82
GERMANY,718,Paid Search,2025-02,0.02,nan,nan,0.02,355.9
GERMANY,macan,Paid Search,2025-03,3.24,nan,nan,3.24,5396.78
GERMANY,taycan,Paid Search,2025-03,7.0,nan,nan,7.0,2474.34
GERMANY,911,Paid Search,2025-03,3.0,nan,nan,3.0,349.59
GERMANY,cayenne,Paid Search,2025-03,3.0,nan,nan,3.0,3184.73
GERMANY,panamera,Paid Search,2025-03,0.0,nan,nan,0.0,360.45
GERMANY,none,Paid Search,2025-03,7.5,nan,nan,7.5,36.8
GERMANY,718,Paid Search,2025-03,6.65,nan,nan,6.65,333.99
GERMANY,cayenne,Paid Search,2025-04,3.96,nan,nan,3.96,3149.32
GERMANY,taycan,Paid Search,2025-04,5.39,nan,nan,5.39,2508.58
GERMANY,panamera,Paid Search,2025-04,2.0,nan,nan,2.0,342.72
GERMANY,911,Paid Search,2025-04,1.0,nan,nan,1.0,337.97
GERMANY,macan,Paid Search,2025-04,1.0,nan,nan,1.0,5196.13
GERMANY,none,Paid Search,2025-04,2.0,nan,nan,2.0,139.1
GERMANY,718,Paid Search,2025-04,1.0,nan,nan,1.0,362.47
GERMANY,taycan,Paid Search,2025-05,6.5,nan,nan,6.5,2344.46
GERMANY,911,Paid Search,2025-05,0.5,nan,nan,0.5,335.95
GERMANY,cayenne,Paid Search,2025-05,3.0,nan,nan,3.0,3026.29
GERMANY,macan,Paid Search,2025-05,2.0,nan,nan,2.0,5131.35
GERMANY,panamera,Paid Search,2025-05,0.0,nan,nan,0.0,327.65
GERMANY,none,Paid Search,2025-05,0.5,nan,nan,0.5,49.52
GERMANY,718,Paid Search,2025-05,3.0,nan,nan,3.0,334.17
GERMANY,cayenne,Paid Search,2025-06,3.0,nan,nan,3.0,3796.76
GERMANY,taycan,Paid Search,2025-06,1.0,nan,nan,1.0,2817.33
GERMANY,911,Paid Search,2025-06,7.0,nan,nan,7.0,395.2
GERMANY,macan,Paid Search,2025-06,3.0,nan,nan,3.0,6131.7
GERMANY,none,Paid Search,2025-06,5.0,nan,nan,5.0,98.5
GERMANY,718,Paid Search,2025-06,0.0,nan,nan,0.0,386.4
GERMANY,macan,Paid Search,2025-07,4.5,nan,nan,4.5,5682.12
GERMANY,cayenne,Paid Search,2025-07,4.0,nan,nan,4.0,3345.6
GERMANY,taycan,Paid Search,2025-07,4.5,nan,nan,4.5,2625.1
GERMANY,panamera,Paid Search,2025-07,1.0,nan,nan,1.0,365.07
GERMANY,911,Paid Search,2025-07,0.0,nan,nan,0.0,390.48
GERMANY,none,Paid Search,2025-07,7.0,nan,nan,7.0,70.77
GERMANY,718,Paid Search,2025-07,0.0,nan,nan,0.0,374.09
GERMANY,macan,Paid Search,2025-08,7.2,nan,nan,7.2,5786.92
GERMANY,cayenne,Paid Search,2025-08,1.5,nan,nan,1.5,3431.51
GERMANY,taycan,Paid Search,2025-08,1.03,nan,nan,1.03,2714.44
GERMANY,panamera,Paid Search,2025-08,0.5,nan,nan,0.5,397.49
GERMANY,911,Paid Search,2025-08,1.0,nan,nan,1.0,386.11
GERMANY,none,Paid Search,2025-08,5.5,nan,nan,5.5,59.68
GERMANY,macan,Paid Search,2025-09,4.0,nan,nan,4.0,5028.72
GERMANY,911,Paid Search,2025-09,0.0,nan,nan,0.0,346.43
GERMANY,cayenne,Paid Search,2025-09,1.0,nan,nan,1.0,2997.91
GERMANY,taycan,Paid Search,2025-09,0.99,nan,nan,0.99,2376.29
GERMANY,panamera,Paid Search,2025-09,1.0,nan,nan,1.0,335.67
GERMANY,none,Paid Search,2025-09,2.0,nan,nan,2.0,21.36
GERMANY,cayenne,Paid Search,2025-10,4.0,nan,nan,4.0,3299.09
GERMANY,taycan,Paid Search,2025-10,2.0,nan,nan,2.0,2610.37
GERMANY,911,Paid Search,2025-10,1.0,nan,nan,1.0,349.78
GERMANY,macan,Paid Search,2025-10,5.0,nan,nan,5.0,5379.6
GERMANY,panamera,Paid Search,2025-10,1.0,nan,nan,1.0,365.01
GERMANY,none,Paid Search,2025-10,3.0,nan,nan,3.0,64.95
GERMANY,macan,Paid Search,2025-11,10.5,nan,nan,10.5,5231.85
GERMANY,cayenne,Paid Search,2025-11,7.0,nan,nan,7.0,3071.74
GERMANY,taycan,Paid Search,2025-11,5.0,nan,nan,5.0,2379.66
GERMANY,911,Paid Search,2025-11,4.0,nan,nan,4.0,350.58
GERMANY,panamera,Paid Search,2025-11,1.0,nan,nan,1.0,350.94
GERMANY,none,Paid Search,2025-11,0.0,nan,nan,0.0,1049.35
GERMANY,macan,Paid Search,2025-12,4.01,nan,nan,4.01,5186.51
GERMANY,cayenne,Paid Search,2025-12,2.0,nan,nan,2.0,3267.52
GERMANY,taycan,Paid Search,2025-12,3.0,nan,nan,3.0,2413.46
GERMANY,panamera,Paid Search,2025-12,2.0,nan,nan,2.0,356.77
GERMANY,911,Paid Search,2025-12,0.0,nan,nan,0.0,349.78
GERMANY,none,Paid Search,2025-12,17.0,nan,nan,17.0,1038.87
GERMANY,macan,Paid Search,2025-13,6.01,nan,nan,6.01,4908.5
GERMANY,cayenne,Paid Search,2025-13,1.0,nan,nan,1.0,2740.89
GERMANY,taycan,Paid Search,2025-13,3.0,nan,nan,3.0,2255.61
GERMANY,panamera,Paid Search,2025-13,1.0,nan,nan,1.0,301.21
GERMANY,911,Paid Search,2025-13,0.0,nan,nan,0.0,320.31
GERMANY,none,Paid Search,2025-13,23.64,nan,nan,23.64,960.16
GERMANY,macan,Paid Search,2025-14,9.02,nan,nan,9.02,5191.83
GERMANY,cayenne,Paid Search,2025-14,1.0,nan,nan,1.0,3044.35
GERMANY,taycan,Paid Search,2025-14,3.0,nan,nan,3.0,2492.05
GERMANY,panamera,Paid Search,2025-14,1.0,nan,nan,1.0,352.99
GERMANY,911,Paid Search,2025-14,1.0,nan,nan,1.0,349.56
GERMANY,none,Paid Search,2025-14,15.03,nan,nan,15.03,1070.8
GERMANY,cayenne,Paid Search,2025-15,3.0,nan,nan,3.0,3296.06
GERMANY,taycan,Paid Search,2025-15,4.0,nan,nan,4.0,2551.3
GERMANY,911,Paid Search,2025-15,1.02,nan,nan,1.02,366.57
GERMANY,macan,Paid Search,2025-15,3.0,nan,nan,3.0,5488.35
GERMANY,none,Paid Search,2025-15,8.0,nan,nan,8.0,1094.41
GERMANY,macan,Paid Search,2025-16,6.0,nan,nan,6.0,3798.17
GERMANY,taycan,Paid Search,2025-16,1.0,nan,nan,1.0,1775.34
GERMANY,cayenne,Paid Search,2025-16,3.0,nan,nan,3.0,2278.81
GERMANY,none,Paid Search,2025-16,6.14,nan,nan,6.14,1086.98
GERMANY,macan,Paid Search,2025-17,2.25,nan,nan,2.25,3699.79
GERMANY,cayenne,Paid Search,2025-17,1.09,nan,nan,1.09,2208.68
GERMANY,taycan,Paid Search,2025-17,5.0,nan,nan,5.0,1714.47
GERMANY,911,Paid Search,2025-17,5.0,nan,nan,5.0,246.83
GERMANY,panamera,Paid Search,2025-17,0.55,nan,nan,0.55,247.26
GERMANY,none,Paid Search,2025-17,6.25,nan,nan,6.25,1049.74
GERMANY,macan,Paid Search,2025-18,2.0,nan,nan,2.0,3576.66
GERMANY,cayenne,Paid Search,2025-18,0.05,nan,nan,0.05,2168.85
GERMANY,taycan,Paid Search,2025-18,2.0,nan,nan,2.0,1661.62
GERMANY,panamera,Paid Search,2025-18,0.0,nan,nan,0.0,219.98
GERMANY,911,Paid Search,2025-18,1.0,nan,nan,1.0,234.31
GERMANY,none,Paid Search,2025-18,5.49,nan,nan,5.49,1022.77
GERMANY,macan,Paid Search,2025-19,5.78,nan,nan,5.78,3758.77
GERMANY,cayenne,Paid Search,2025-19,1.0,nan,nan,1.0,2251.0
GERMANY,taycan,Paid Search,2025-19,4.0,nan,nan,4.0,1767.85
GERMANY,panamera,Paid Search,2025-19,1.0,nan,nan,1.0,259.67
GERMANY,911,Paid Search,2025-19,0.01,nan,nan,0.01,242.78
