market,model,channel,week,icc_dcfs,model_dcfs,finder_dcfs,dcfs,spend
GERMANY,macan,Paid Search,2025-22,3.0,nan,nan,3.0,580.46
GERMANY,cayenne,Paid Search,2025-22,1.0,nan,nan,1.0,364.29
GERMANY,taycan,Paid Search,2025-22,1.0,nan,nan,1.0,261.95
GERMANY,panamera,Paid Search,2025-22,nan,nan,nan,nan,43.54
GERMANY,911,Paid Search,2025-22,nan,nan,nan,nan,40.11
GERMANY,none,Paid Search,2025-22,1.0,nan,nan,1.0,152.11
GERMANY,macan,Paid Search,2025-23,5.5,nan,nan,5.5,3841.5
GERMANY,cayenne,Paid Search,2025-23,1.21,nan,nan,1.21,2285.3
GERMANY,taycan,Paid Search,2025-23,2.69,nan,nan,2.69,1775.41
GERMANY,panamera,Paid Search,2025-23,0.0,nan,nan,0.0,248.18
GERMANY,911,Paid Search,2025-23,0.01,nan,nan,0.01,255.37
GERMANY,none,Paid Search,2025-23,12.0,nan,nan,12.0,1090.3
GERMANY,macan,Paid Search,2025-24,7.14,nan,nan,7.14,4646.46
GERMANY,cayenne,Paid Search,2025-24,2.5,nan,nan,2.5,2312.31
GERMANY,taycan,Paid Search,2025-24,1.6500000000000001,nan,nan,1.6500000000000001,2817.39
GERMANY,panamera,Paid Search,2025-24,1.0,nan,nan,1.0,262.06
GERMANY,911,Paid Search,2025-24,0.0,nan,nan,0.0,253.46
GERMANY,none,Paid Search,2025-24,20.85,nan,nan,20.85,1131.58
GERMANY,macan,Paid Search,2025-25,10.0,nan,nan,10.0,5164.49
GERMANY,cayenne,Paid Search,2025-25,2.5,nan,nan,2.5,2225.47
GERMANY,taycan,Paid Search,2025-25,7.04,nan,nan,7.04,3097.02
GERMANY,panamera,Paid Search,2025-25,1.0,nan,nan,1.0,235.24
GERMANY,911,Paid Search,2025-25,2.15,nan,nan,2.15,250.4
GERMANY,none,Paid Search,2025-25,17.21,nan,nan,17.21,1049.94
GERMANY,macan,Paid Search,2025-26,18.15,nan,nan,18.15,4966.01
GERMANY,cayenne,Paid Search,2025-26,3.81,nan,nan,3.81,2090.91
GERMANY,taycan,Paid Search,2025-26,6.13,nan,nan,6.13,3039.23
GERMANY,panamera,Paid Search,2025-26,2.0,nan,nan,2.0,227.1
GERMANY,911,Paid Search,2025-26,2.0,nan,nan,2.0,228.93
GERMANY,none,Paid Search,2025-26,13.31,nan,nan,13.31,998.53
GERMANY,macan,Paid Search,2025-27,8.879999999999999,nan,nan,8.879999999999999,5017.31
GERMANY,cayenne,Paid Search,2025-27,0.0,nan,nan,0.0,2154.43
GERMANY,taycan,Paid Search,2025-27,5.5,nan,nan,5.5,3085.27
