market,channel,week,icc_dcfs,sessions,spend
CANADA,Paid Search,2025-01,0.0,,0.0
CANADA,Paid Search,2025-02,1.0,,0.0
CANADA,Paid Search,2025-03,1.0,,0.0
CANADA,Paid Search,2025-04,8.0,,23984.192279591836
CANADA,Paid Search,2025-05,9.0,,26003.587646938777
CANADA,Paid Search,2025-06,4.0,,17453.472156462583
CANADA,Paid Search,2025-07,11.0,,10299.2002
CANADA,Paid Search,2025-08,4.0,,14633.489355782312
CANADA,Paid Search,2025-09,11.0,,20456.029744897958
CANADA,Paid Search,2025-10,5.0,,13434.19894897959
CANADA,Paid Search,2025-11,6.0,,13442.288711564624
CANADA,Paid Search,2025-12,3.0,,17064.201555102038
CANADA,Paid Search,2025-13,8.0,,15927.580404761906
CANADA,Paid Search,2025-14,2.0,,11478.269151020408
CANADA,Paid Search,2025-15,6.0,,13490.30086122449
CANADA,Paid Search,2025-16,10.0,,15556.930593197278
CANADA,Paid Search,2025-17,3.0,,15243.700374829932
CANADA,Paid Search,2025-18,2.0,,7509.280995238094
CANADA,Paid Search,2025-19,0.0,,4818.566988435374
CANADA,Paid Search,2025-20,2.0,,20458.71242244898
CANADA,Paid Search,2025-21,1.0,,21919.91436462585
CANADA,Paid Search,2025-22,2.0,,16400.42445170068
CANADA,Paid Search,2025-23,0.0,,13472.011130612245
CANADA,Paid Search,2025-24,0.0,,13489.446782993198
CANADA,Paid Search,2025-25,2.0,,14034.48976462585
CANADA,Paid Search,2025-26,0.0,,13158.9309292517
CANADA,Paid Search,2025-27,2.0,,13592.315423129252
CANADA,Paid Search,2025-28,0.0,,12336.714475510204
CANADA,Paid Search,2025-29,2.0,,14940.947487755104
CANADA,Paid Search,2025-30,2.0,,14043.546050340135
CANADA,Paid Search,2025-31,2.0,,13046.735741496599
CANADA,Paid Search,2025-32,0.0,,14594.052934013604
CANADA,Paid Search,2025-33,2.0,,16202.126596598639
CANADA,Paid Search,2025-34,1.0,,22355.69488707483
CANADA,Paid Search,2025-35,0.0,,22859.59940680272
CANADA,Paid Search,2025-36,3.0,,26249.79906666667
CANADA,Paid Search,2025-37,0.0,,27509.797053061222
CANADA,Paid Search,2025-38,2.0,,25716.170481632656
CANADA,Paid Search,2025-39,2.0,,25745.45330068027
CANADA,Paid Search,2025-40,0.0,,20506.004797959187
CANADA,Paid Search,2025-41,2.0,,17623.85091020408
CANADA,Paid Search,2025-42,2.0,,21935.431295238093
CANADA,Paid Search,2025-43,1.0,,26798.351929931974
CANADA,Paid Search,2025-44,2.0,,16254.580818367347
CANADA,Paid Search,2025-45,4.0,,17996.625876190476
CANADA,Paid Search,2025-46,5.0,,14064.597456462585
CANADA,Paid Search,2025-47,0.0,,10941.23641972789
CANADA,Paid Search,2025-48,1.0,,11462.216838095239
CANADA,Paid Search,2025-49,2.0,,10072.909527210884
CANADA,Paid Search,2025-50,0.0,,9877.26589047619
CANADA,Paid Search,2025-51,3.0,,11229.940468027211
CANADA,Paid Search,2025-52,5.0,,11667.17273197279
CANADA,Paid Search,2026-01,3.0,,5082.657574829932
CANADA,Paid Social,2025-01,0.0,,0.0
CANADA,Paid Social,2025-02,0.0,,0.0
CANADA,Paid Social,2025-03,0.0,,0.0
CANADA,Paid Social,2025-04,0.0,,0.0
CANADA,Paid Social,2025-05,0.0,,0.0
CANADA,Paid Social,2025-06,0.0,,0.0
CANADA,Paid Social,2025-07,0.0,,0.0
CANADA,Paid Social,2025-08,0.0,,0.0
CANADA,Paid Social,2025-09,0.0,,34.73469387755103
CANADA,Paid Social,2025-10,0.0,,345.02040816326536
CANADA,Paid Social,2025-11,0.0,,426.41496598639463
CANADA,Paid Social,2025-12,0.0,,477.3809523809524
CANADA,Paid Social,2025-13,0.0,,1029.9931972789118
CANADA,Paid Social,2025-14,0.0,,1064.392861122019
CANADA,Paid Social,2025-15,0.0,,639.9363272748884
CANADA,Paid Social,2025-16,0.0,,1624.1020408163286
CANADA,Paid Social,2025-17,0.0,,2839.8231292517
CANADA,Paid Social,2025-18,0.0,,8443.653061224477
CANADA,Paid Social,2025-19,0.0,,18663.435374149652
CANADA,Paid Social,2025-20,0.0,,19463.333333333336
CANADA,Paid Social,2025-21,0.0,,19287.802721088457
CANADA,Paid Social,2025-22,0.0,,20359.054421768702
CANADA,Paid Social,2025-23,0.0,,20560.204081632648
CANADA,Paid Social,2025-24,0.0,,15113.734693877555
CANADA,Paid Social,2025-25,0.0,,773.2721088435378
CANADA,Paid Social,2025-26,0.0,,794.3537414965987
CANADA,Paid Social,2025-27,0.0,,4555.489795918367
CANADA,Paid Social,2025-28,0.0,,12636.306122448981
CANADA,Paid Social,2025-29,0.0,,11932.721088435374
CANADA,Paid Social,2025-30,0.0,,14252.707482993199
CANADA,Paid Social,2025-31,0.0,,5663.591836734694
CANADA,Paid Social,2025-32,0.0,,755.9319727891152
CANADA,Paid Social,2025-33,0.0,,754.7687074829932
CANADA,Paid Social,2025-34,1.0,,778.1564625850341
CANADA,Paid Social,2025-35,0.0,,725.891156462585
CANADA,Paid Social,2025-36,0.0,,663.7755102040811
CANADA,Paid Social,2025-37,0.0,,681.8027210884352
CANADA,Paid Social,2025-38,0.0,,653.4557823129252
CANADA,Paid Social,2025-39,0.0,,464.251700680272
CANADA,Paid Social,2025-40,0.0,,4185.265306122448
CANADA,Paid Social,2025-41,1.0,,11441.891156462583
CANADA,Paid Social,2025-42,0.0,,14517.3537414966
CANADA,Paid Social,2025-43,0.0,,18431.680272108846
CANADA,Paid Social,2025-44,0.0,,14611.156462585035
CANADA,Paid Social,2025-45,1.0,,17668.884353741498
CANADA,Paid Social,2025-46,0.0,,21208.13605442177
CANADA,Paid Social,2025-47,0.0,,23702.8231292517
CANADA,Paid Social,2025-48,2.0,,26407.59183673468
CANADA,Paid Social,2025-49,1.0,,6142.938775510205
CANADA,Paid Social,2025-50,2.0,,6096.687074829932
CANADA,Paid Social,2025-51,2.0,,6069.4217687074815
CANADA,Paid Social,2025-52,3.0,,6078.965986394558
CANADA,Paid Social,2026-01,2.0,,2695.9931972789113
GERMANY,Paid Search,2025-01,4.0,,44406.129652
GERMANY,Paid Search,2025-02,7.0,,37947.035653
GERMANY,Paid Search,2025-03,9.0,,36533.715619
GERMANY,Paid Search,2025-04,8.0,,35822.730723
GERMANY,Paid Search,2025-05,13.0,,34692.936310000005
GERMANY,Paid Search,2025-06,11.0,,43205.45458400001
GERMANY,Paid Search,2025-07,11.0,,39602.503012
GERMANY,Paid Search,2025-08,10.0,,40521.54242299999
GERMANY,Paid Search,2025-09,9.0,,34864.919352
GERMANY,Paid Search,2025-10,6.0,,37049.596465
GERMANY,Paid Search,2025-11,10.0,,35095.056522
GERMANY,Paid Search,2025-12,12.0,,35638.003989000004
GERMANY,Paid Search,2025-13,8.0,,32271.742279000002
GERMANY,Paid Search,2025-14,20.0,,35480.739483000005
GERMANY,Paid Search,2025-15,1.0,,37120.967655
GERMANY,Paid Search,2025-16,7.0,,26794.073156000002
GERMANY,Paid Search,2025-17,1.0,,26062.322323999997
GERMANY,Paid Search,2025-18,7.0,,25161.012615
GERMANY,Paid Search,2025-19,6.0,,26480.516261999997
GERMANY,Paid Search,2025-20,11.0,,26887.288623
GERMANY,Paid Search,2025-21,8.0,,26284.439448000005
GERMANY,Paid Search,2025-22,10.0,,24457.077099
GERMANY,Paid Search,2025-23,13.0,,26704.053720999997
GERMANY,Paid Search,2025-24,8.0,,37131.678908999995
GERMANY,Paid Search,2025-25,2.0,,44778.613382
GERMANY,Paid Search,2025-26,8.0,,40917.418418
GERMANY,Paid Search,2025-27,7.0,,42139.526266
GERMANY,Paid Search,2025-28,9.0,,34689.148151
GERMANY,Paid Search,2025-29,12.0,,42593.463423
GERMANY,Paid Search,2025-30,9.0,,37512.294777
GERMANY,Paid Search,2025-31,14.0,,33640.203345
