report_date,report_week,source_file,Market,Model,Date,calendar_week,week_relative,week_text,Ad Type,Channel,Platform,is_pmax,Currency Rate,clicks,Finder DCF Started,Finder DCFS,Finder MDPV,ICC DCF started,ICC DCFS,ICC finished,ICC started,Impressions,Media Spend,Model Detail Page DCF started,Model Detail page DCFS,Model page visit,Number of Sessions,Session start,clicks_outbound,reach,DCFS,Forms Submission Started,Activation Group,Campaign
2026-01-07,CW52,pwc reports/Weekly/CW52/07012026_Winning BEV_Weekly Reporting_untill 31122025.xlsx,PTW,,,,,,Social Display,Paid Social,Meta,False,Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,0,Meta Classic Ads,Winning BEV Close the Gap
2026-01-07,CW52,pwc reports/Weekly/CW52/07012026_Winning BEV_Weekly Reporting_untill 31122025.xlsx,CZ,Macan,20250818,CW 34,BW 11,August 18 - August 24,Social Vehicle,Paid Social,Meta,False,Not specified,387,0,0,0,0,0,0,0,17836,72.45,0,0,0,0,0,343,15876,0,0,Meta Inventory Ads,Winning BEV Close the Gap
2026-01-07,CW52,pwc reports/Weekly/CW52/07012026_Winning BEV_Weekly Reporting_untill 31122025.xlsx,CZ,Macan,20250819,CW 34,BW 11,August 18 - August 24,Social Vehicle,Paid Social,Meta,False,24.4,0,3,0,205,0,0,0,0,0,0,0,0,0,205,0,0,0,0,3,Meta Inventory Ads,Winning BEV Close the Gap
2026-01-07,CW52,pwc reports/Weekly/CW52/07012026_Winning BEV_Weekly Reporting_untill 31122025.xlsx,CZ,Macan,20250819,CW 34,BW 11,August 18 - August 24,Social Vehicle,Paid Social,Meta,False,Not specified,1360,0,0,0,0,0,0,0,45579,146.8,0,0,0,0,0,1221,32600,0,0,Meta Inventory Ads,Winning BEV Close the Gap
2026-01-07,CW52,pwc reports/Weekly/CW52/07012026_Winning BEV_Weekly Reporting_untill 31122025.xlsx,CZ,Macan,20250820,CW 34,BW 11,August 18 - August 24,Social Vehicle,Paid Social,Meta,False,24.4,0,1,0,297,0,0,0,0,0,0,0,0,0,299,0,0,0,0,1,Meta Inventory Ads,Winning BEV Close the Gap
2026-01-07,CW52,pwc reports/Weekly/CW52/07012026_Winning BEV_Weekly Reporting_untill 31122025.xlsx,CZ,Macan,20250820,CW 34,BW 11,August 18 - August 24,Social Vehicle,Paid Social,Meta,False,Not specified,1454,0,0,0,0,0,0,0,51556,162.74,0,0,0,0,0,1230,34524,0,0,Meta Inventory Ads,Winning BEV Close the Gap
2026-01-07,CW52,pwc reports/Weekly/CW52/07012026_Winning BEV_Weekly Reporting_untill 31122025.xlsx,CZ,Macan,20250821,CW 34,BW 11,August 18 - August 24,Google Search Ad,Paid Search,Google,False,24.4,2,0,0,0,0,0,0,1,12,1.193081803278689,0,0,0,1,1,0,0,0,0,Search/Google Ads,Winning BEV Close the Gap
2026-01-07,CW52,pwc reports/Weekly/CW52/07012026_Winning BEV_Weekly Reporting_untill 31122025.xlsx,CZ,Macan,20250821,CW 34,BW 11,August 18 - August 24,Social Vehicle,Paid Social,Meta,False,24.4,0,1,0,289,0,0,0,0,0,0,0,0,0,295,0,0,0,0,1,Meta Inventory Ads,Winning BEV Close the Gap
2026-01-07,CW52,pwc reports/Weekly/CW52/07012026_Winning BEV_Weekly Reporting_untill 31122025.xlsx,CZ,Macan,20250821,CW 34,BW 11,August 18 - August 24,Social Vehicle,Paid Social,Meta,False,Not specified,1033,0,0,0,0,0,0,0,36755,109.22,0,0,0,0,0,946,25943,0,0,Meta Inventory Ads,Winning BEV Close the Gap
2026-01-07,CW52,pwc reports/Weekly/CW52/07012026_Winning BEV_Weekly Reporting_untill 31122025.xlsx,CZ,Macan,20250822,CW 34,BW 11,August 18 - August 24,Google Search Ad,Paid Search,Google,False,24.4,4,0,0,0,0,0,1,1,38,3.043765696721311,0,0,0,4,4,0,0,0,0,Search/Google Ads,Winning BEV Close the Gap
